Postcode,Latitude,Longitude,Easting,Northing,Grid Ref,Ward,Parish,Altitude,Country,Last Updated,LSOA Code,LSOA Name
B1 1AY,52.475924,-1.905392,406523,286448,SP065864,Ladywood,"Birmingham, unparished area",147,England,07/03/2023,E01033625,Birmingham 138D
B1 1BA,52.475425,-1.900211,406875,286393,SP068863,Ladywood,"Birmingham, unparished area",130,England,07/03/2023,E01033615,Birmingham 135C
B1 1BB,52.480783,-1.904096,406610,286989,SP066869,Ladywood,"Birmingham, unparished area",152,England,07/03/2023,E01033620,Birmingham 138A
B1 1BD,52.47893,-1.902936,406689,286783,SP066867,Ladywood,"Birmingham, unparished area",144,England,07/03/2023,E01033625,Birmingham 138D
B1 1BE,52.477402,-1.902469,406721,286613,SP067866,Ladywood,"Birmingham, unparished area",131,England,07/03/2023,E01033625,Birmingham 138D
B1 1BL,52.476853,-1.901616,406779,286552,SP067865,Ladywood,"Birmingham, unparished area",134,England,07/03/2023,E01033620,Birmingham 138A
B1 1BN,52.476573,-1.900895,406828,286521,SP068865,Ladywood,"Birmingham, unparished area",133,England,07/03/2023,E01033620,Birmingham 138A
B1 1BT,52.475425,-1.900211,406875,286393,SP068863,Ladywood,"Birmingham, unparished area",130,England,07/03/2023,E01033615,Birmingham 135C
B1 1BY,52.475425,-1.900211,406875,286393,SP068863,Ladywood,"Birmingham, unparished area",130,England,07/03/2023,E01033615,Birmingham 135C
B1 1DA,52.474382,-1.899551,406920,286277,SP069862,Bordesley & Highgate,"Birmingham, unparished area",127,England,07/03/2023,E01033615,Birmingham 135C
B1 1DB,52.473507,-1.900195,406876,286180,SP068861,Ladywood,"Birmingham, unparished area",129,England,07/03/2023,E01033616,Birmingham 135D
B1 1DD,52.473851,-1.899184,406945,286218,SP069862,Bordesley & Highgate,"Birmingham, unparished area",126,England,07/03/2023,E01033615,Birmingham 135C
B1 1DH,52.47282,-1.901762,406770,286103,SP067861,Ladywood,"Birmingham, unparished area",133,England,07/03/2023,E01033616,Birmingham 135D
B1 1DR,52.473912,-1.901122,406813,286225,SP068862,Ladywood,"Birmingham, unparished area",137,England,07/03/2023,E01033616,Birmingham 135D
B1 1DW,52.473098,-1.900923,406827,286134,SP068861,Ladywood,"Birmingham, unparished area",131,England,07/03/2023,E01033616,Birmingham 135D
B1 1EG,52.474823,-1.899623,406915,286326,SP069863,Bordesley & Highgate,"Birmingham, unparished area",126,England,07/03/2023,E01033615,Birmingham 135C
B1 1EQ,52.47472,-1.899677,406911,286315,SP069863,Bordesley & Highgate,"Birmingham, unparished area",126,England,07/03/2023,E01033615,Birmingham 135C
B1 1FD,52.47471,-1.909644,406234,286313,SP062863,Ladywood,"Birmingham, unparished area",142,England,07/03/2023,E01033557,Birmingham 134B
B1 1FF,52.47471,-1.909644,406234,286313,SP062863,Ladywood,"Birmingham, unparished area",142,England,07/03/2023,E01033557,Birmingham 134B
B1 1FJ,52.478141,-1.9055,406515,286695,SP065866,Ladywood,"Birmingham, unparished area",133,England,07/03/2023,E01033625,Birmingham 138D
B1 1FN,52.478141,-1.9055,406515,286695,SP065866,Ladywood,"Birmingham, unparished area",133,England,07/03/2023,E01033625,Birmingham 138D
B1 1FQ,52.478141,-1.9055,406515,286695,SP065866,Ladywood,"Birmingham, unparished area",133,England,07/03/2023,E01033625,Birmingham 138D
B1 1FU,52.478141,-1.9055,406515,286695,SP065866,Ladywood,"Birmingham, unparished area",133,England,07/03/2023,E01033625,Birmingham 138D
